NTAName,GeoID,Borough,Pop,PopZ,PopY,PopX,PopBB,Hsp_E,Hsp_P,Wt_E,Wt_P,Bl_E,Bl_P,Asn_E,Asn_P,Rc2pl_E,Rc2pl_P,Oths_E,Oths_P,MdHHIncE,MnHHIncE
Ferry Point Park-St. Raymond Cemetery,BX1091,Bronx,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Van Cortlandt Park,BX2691,Bronx,16,7.0,4.0,5.0,0.0,5,31.3,7,43.8,0,,4,25.0,0,,0.0,0.0,84374.0,80400.0
Bronx Park,BX2791,Bronx,38,8.0,16.0,14.0,0.0,2,5.3,1,2.6,35,92.1,0,,0,,0.0,0.0,67498.0,
Pelham Bay Park,BX2891,Bronx,57,8.0,15.0,6.0,10.0,6,10.5,15,26.3,36,63.2,0,,0,,0.0,0.0,17915.0,21683.0
The Battery-Governors Island-Ellis Island-Liberty Island,MN0191,Manhattan,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Randall's Island,MN1191,Manhattan,"2,316",179.0,707.0,926.0,483.0,651,28.1,317,13.7,"1,250",54.0,49,2.1,18,0.8,31.0,1.4,,
Highbridge Park,MN1291,Manhattan,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Inwood Hill Park,MN1292,Manhattan,17,1.0,4.0,4.0,8.0,7,41.2,4,23.5,6,35.3,0,,0,,0.0,0.0,,
Central Park,MN6491,Manhattan,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Astoria Park,QN0191,Queens,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Kissena Park,QN0791,Queens,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Cunningham Park,QN0891,Queens,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Spring Creek Park,QN1091,Queens,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
